,year,crop_name,county,harvested_acres,production,yield,key_crop_name
291,2014,BROCCOLI FRESH MARKET,Monterey,47900.0,350000.0,7.31,Broccoli
294,2014,BROCCOLI PROCESSING,Tulare,1180.0,6730.0,5.7,Broccoli
296,2014,BROCCOLI UNSPECIFIED,Fresno,3320.0,25100.0,7.56,Broccoli
297,2014,BROCCOLI UNSPECIFIED,Orange,4.0,9.0,2.25,Broccoli
298,2014,BROCCOLI UNSPECIFIED,Riverside,1970.0,13200.0,6.7,Broccoli
299,2014,BROCCOLI UNSPECIFIED,San Benito,841.0,5890.0,7.0,Broccoli
300,2014,BROCCOLI UNSPECIFIED,San Luis Obispo,9880.0,62700.0,6.35,Broccoli
301,2014,BROCCOLI UNSPECIFIED,Santa Barbara,27400.0,188000.0,6.86,Broccoli
302,2014,BROCCOLI UNSPECIFIED,Santa Clara,99.0,713.0,7.2,Broccoli
303,2014,BROCCOLI UNSPECIFIED,Stanislaus,2670.0,13400.0,5.02,Broccoli
304,2014,BROCCOLI UNSPECIFIED,Ventura,359.0,3040.0,8.47,Broccoli
305,2014,BROCCOLI UNSPECIFIED,Sum of Others,979.0,8476.0,8.66,Broccoli
307,2014,BRUSSELS SPROUTS,San Mateo,736.0,7490.0,10.18,No Match
308,2014,BRUSSELS SPROUTS,Santa Cruz,1120.0,11500.0,10.27,No Match
309,2014,BRUSSELS SPROUTS,Sum of Others,97.0,526.0,5.42,No Match
311,2014,CABBAGE CHINESE & SPECIALTY,Monterey,961.0,27000.0,28.1,Cabbage
312,2014,CABBAGE CHINESE & SPECIALTY,San Bernardino,1720.0,61700.0,35.87,Cabbage
313,2014,CABBAGE CHINESE & SPECIALTY,San Luis Obispo,1570.0,28000.0,17.83,Cabbage
314,2014,CABBAGE CHINESE & SPECIALTY,Sum of Others,2301.0,35210.0,15.3,Cabbage
316,2014,CABBAGE HEAD,Imperial,2390.0,33800.0,14.14,Cabbage
317,2014,CABBAGE HEAD,Monterey,6300.0,145000.0,23.02,Cabbage
318,2014,CABBAGE HEAD,Riverside,33.0,490.0,14.85,Cabbage
319,2014,CABBAGE HEAD,San Benito,166.0,4070.0,24.52,Cabbage
320,2014,CABBAGE HEAD,San Luis Obispo,720.0,14700.0,20.42,Cabbage
321,2014,CABBAGE HEAD,Santa Barbara,1140.0,29300.0,25.7,Cabbage
322,2014,CABBAGE HEAD,Santa Clara,215.0,5330.0,24.79,Cabbage
323,2014,CABBAGE HEAD,Ventura,3920.0,124000.0,31.63,Cabbage
324,2014,CABBAGE HEAD,Sum of Others,738.0,12990.0,17.6,Cabbage
326,2014,CARROTS FOOD SERVICE,Monterey,1610.0,34800.0,21.61,Carrots
328,2014,CARROTS FRESH MARKET,Imperial,4490.0,84400.0,18.8,Carrots
329,2014,CARROTS FRESH MARKET,Monterey,1420.0,30700.0,21.62,Carrots
330,2014,CARROTS FRESH MARKET,Sum of Others,2630.0,85100.0,32.36,Carrots
332,2014,CARROTS PROCESSING,Imperial,10500.0,373000.0,35.52,Carrots
334,2014,CARROTS UNSPECIFIED,Riverside,4330.0,133000.0,30.72,Carrots
335,2014,CARROTS UNSPECIFIED,Ventura,665.0,22300.0,33.53,Carrots
336,2014,CARROTS UNSPECIFIED,Sum of Others,27274.0,978505.0,35.88,Carrots
452,2014,CAULIFLOWER FOOD SERVICE,Monterey,2880.0,26500.0,9.2,Cauliflower
454,2014,CAULIFLOWER FRESH MARKET,Imperial,4070.0,47000.0,11.55,Cauliflower
455,2014,CAULIFLOWER FRESH MARKET,Monterey,14700.0,135000.0,9.18,Cauliflower
456,2014,CAULIFLOWER FRESH MARKET,Sum of Others,42.0,381.0,9.07,Cauliflower
